,Conc,Tree,Position,leafw,epi_up,epi_low,mesolay.mean,meso.mean,length.par1.mean,stomdenad.mean,stomdenab.mean,stomlengthad.mean,stomlengthab.mean,spi.ad.mean,spi.ab.mean,sumlength.par.mean,meanlength.par.mean,Date,Ring,Tree.y,CO2grow,Canopy,CO2meas,N.Rows,gmes,Mean_gm.Eglob,Mean_gs,Mean_Ci,Mean_Cc,Drawdown
29,403lower,403,lower,242.9263333,20.07655556,15.14055556,7.666666667,215.0915556,25.012,221.875,218.75,29.23,28.91,6.48540625,6.3240625,69.70836601,23.236122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,403upper,403,upper,299.6395556,22.33688889,18.84088889,8,254.4868889,27.01311111,191.6666667,175,34.03,34.93,6.522416668,6.11275,78.42674074,26.14224691,29/11/2014,R4,403,elev,upper,amb,6,0.137,0.104,0.13,233,144,89
31,403upper,403,upper,299.6395556,22.33688889,18.84088889,8,254.4868889,27.01311111,191.6666667,175,34.03,34.93,6.522416668,6.11275,78.42674074,26.14224691,29/11/2014,R4,403,elev,upper,elev,6,0.453,0.241,0.131333333,313,275,38
32,408lower,408,lower,236.6822222,15.79455556,13.08688889,7,207.3986667,27.525,300,184.375,24.78,27.7,7.434,5.1071875,71.53122222,23.84374074,23/10/2014,R4,408,elev,lower,amb,6,0.245,0.101,0.089,227,194,34
33,408lower,408,lower,236.6822222,15.79455556,13.08688889,7,207.3986667,27.525,300,184.375,24.78,27.7,7.434,5.1071875,71.53122222,23.84374074,29/11/2014,R4,408,elev,lower,amb,5,0.12,0.093,0.1546,256,156,100
34,408lower,408,lower,236.6822222,15.79455556,13.08688889,7,207.3986667,27.525,300,184.375,24.78,27.7,7.434,5.1071875,71.53122222,23.84374074,29/11/2014,R4,408,elev,lower,elev,6,0.245,0.168,0.154,350,281,69
35,408upper,408,upper,347.1855556,22.34644444,13.71255556,8,307.2205556,37.61311111,200,165.625,35.32,36.9,7.064,6.1115625,100.1552963,33.38509877,23/10/2014,R4,408,elev,upper,amb,7,0.252,0.149,0.104571429,196,148,48
36,408upper,408,upper,347.1855556,22.34644444,13.71255556,8,307.2205556,37.61311111,200,165.625,35.32,36.9,7.064,6.1115625,100.1552963,33.38509877,23/10/2014,R4,408,elev,upper,elev,7,0.085,0.077,0.134714286,293,66,227
37,422lower,422,lower,325.6967778,22.21811111,19.83766667,7,273.606,33.38966667,150,143.75,33.01,33.64,4.9515,4.83575,92.34593334,30.78197778,23/10/2014,R4,422,elev,lower,amb,7,0.065,0.059,0.207,256,26,230
38,422lower,422,lower,325.6967778,22.21811111,19.83766667,7,273.606,33.38966667,150,143.75,33.01,33.64,4.9515,4.83575,92.34593334,30.78197778,23/10/2014,R4,422,elev,lower,elev,7,0.091,0.082,0.220714286,360,120,240
39,501lower,501,lower,343.2912222,21.00277778,19.09311111,7.333333333,296.0536667,30.53277778,151.5625,142.1875,35.15,36.47,5.327421875,5.185578125,91.55254861,30.5175162,27/10/2014,R5,501,elev,lower,amb,7,0.171,0.121,0.157714286,263,190,73
40,501lower,501,lower,343.2912222,21.00277778,19.09311111,7.333333333,296.0536667,30.53277778,151.5625,142.1875,35.15,36.47,5.327421875,5.185578125,91.55254861,30.5175162,27/10/2014,R5,501,elev,lower,elev,9,0.291,0.188,0.175333333,365,305,60
41,501upper,501,upper,375.6547778,25.699,21.62166667,8.666666667,319.8875556,30.82955556,167.1875,160.9375,37.65,37.24,6.294609375,5.9933125,87.86889445,29.28963148,27/10/2014,R5,501,elev,upper,amb,6,0.343,0.16,0.167333333,249,210,39
42,501upper,501,upper,375.6547778,25.699,21.62166667,8.666666667,319.8875556,30.82955556,167.1875,160.9375,37.65,37.24,6.294609375,5.9933125,87.86889445,29.28963148,27/10/2014,R5,501,elev,upper,elev,6,0.209,0.153,0.148333333,333,248,84
43,513lower,513,lower,351.165,23.277,17.98933333,8,296.9282222,32.97011111,162.5,110.9375,37.88,39.68,6.1555,4.402,94.18172222,31.39390741,30/10/2014,R5,513,elev,lower,amb,7,0.149,0.115,0.227428571,283,189,94
44,513lower,513,lower,351.165,23.277,17.98933333,8,296.9282222,32.97011111,162.5,110.9375,37.88,39.68,6.1555,4.402,94.18172222,31.39390741,30/10/2014,R5,513,elev,lower,elev,7,0.27,0.18,0.222285714,394,325,69
45,513upper,513,upper,292.8722222,22.35222222,18.21711111,7.333333333,250.3853333,34.03566667,211.1111111,189.0625,31.63,33.05,6.677444444,6.248515625,90.95861111,30.31953704,27/10/2014,R5,513,elev,upper,amb,6,0.166,0.106,0.142,246,175,71
46,513upper,513,upper,292.8722222,22.35222222,18.21711111,7.333333333,250.3853333,34.03566667,211.1111111,189.0625,31.63,33.05,6.677444444,6.248515625,90.95861111,30.31953704,27/10/2014,R5,513,elev,upper,elev,6,0.34,0.148,0.142833333,356,312,45
47,523lower,523,lower,320.7708889,21.553,18.96744444,7,269.4577778,34.90355556,198.6111111,145.3125,32.85,34.31,6.524375,4.985671875,93.8668,31.28893333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,523upper,523,upper,363.2158889,24.06466667,20.94666667,8,307.2945556,34.812,184.375,153.125,32.59,35.92,6.00878125,5.50025,94.45625926,31.48541975,30/10/2014,R5,523,elev,upper,amb,7,0.114,0.091,0.193285714,275,163,111
49,523upper,523,upper,363.2158889,24.06466667,20.94666667,8,307.2945556,34.812,184.375,153.125,32.59,35.92,6.00878125,5.50025,94.45625926,31.48541975,30/10/2014,R5,523,elev,upper,elev,7,0.243,0.172,0.228142857,387,307,80
50,6_out1lower,6_out1,lower,314.0774444,24.42755556,19.36222222,7,260.1178889,32.20955556,125,145.3125,34.4,36.44,4.3,5.2951875,90.73493334,30.24497778,23/10/2014,R6,6_out1,amb,lower,amb,6,0.192,0.085,0.1045,249,206,43
51,6_out1lower,6_out1,lower,314.0774444,24.42755556,19.36222222,7,260.1178889,32.20955556,125,145.3125,34.4,36.44,4.3,5.2951875,90.73493334,30.24497778,23/10/2014,R6,6_out1,amb,lower,elev,6,0.137,0.1,0.1115,340,248,93
52,6_out1lower,6_out1,lower,314.0774444,24.42755556,19.36222222,7,260.1178889,32.20955556,125,145.3125,34.4,36.44,4.3,5.2951875,90.73493334,30.24497778,30/10/2014,R6,6_out1,amb,lower,amb,7,0.054,0.046,0.146714286,299,148,150
53,6_out1lower,6_out1,lower,314.0774444,24.42755556,19.36222222,7,260.1178889,32.20955556,125,145.3125,34.4,36.44,4.3,5.2951875,90.73493334,30.24497778,30/10/2014,R6,6_out1,amb,lower,elev,7,0.097,0.076,0.147428571,402,279,124
54,6_out1upper,6_out1,upper,339.0603333,22.45155556,20.55866667,8,290.5823333,30.59222222,181.25,196.875,32.96,32.22,5.974,6.3433125,89.51385185,29.83795062,23/10/2014,R6,6_out1,amb,upper,amb,7,NA,0.256,0.223714286,238,214,25
55,6_out1upper,6_out1,upper,339.0603333,22.45155556,20.55866667,8,290.5823333,30.59222222,181.25,196.875,32.96,32.22,5.974,6.3433125,89.51385185,29.83795062,23/10/2014,R6,6_out1,amb,upper,elev,7,0.379,0.256,0.238142857,361,298,63
56,6_out1upper,6_out1,upper,339.0603333,22.45155556,20.55866667,8,290.5823333,30.59222222,181.25,196.875,32.96,32.22,5.974,6.3433125,89.51385185,29.83795062,30/10/2014,R6,6_out1,amb,upper,amb,6,0.086,0.065,0.1275,274,176,98
57,6_out1upper,6_out1,upper,339.0603333,22.45155556,20.55866667,8,290.5823333,30.59222222,181.25,196.875,32.96,32.22,5.974,6.3433125,89.51385185,29.83795062,30/10/2014,R6,6_out1,amb,upper,elev,7,0.149,0.102,0.134285714,375,291,84
58,6_out2lower,6_out2,lower,257.89,17.70366667,15.89666667,7,223.6455556,28.526,223.6111111,163.8888889,30.83,32.11,6.893930555,5.262472223,74.56526667,24.85508889,30/10/2014,R6,6_out2,amb,lower,amb,6,0.122,0.097,0.202833333,277,173,104
59,6_out2lower,6_out2,lower,257.89,17.70366667,15.89666667,7,223.6455556,28.526,223.6111111,163.8888889,30.83,32.11,6.893930555,5.262472223,74.56526667,24.85508889,30/10/2014,R6,6_out2,amb,lower,elev,7,0.35,0.201,0.228571429,406,355,50
60,6_out2lower,6_out2,lower,257.89,17.70366667,15.89666667,7,223.6455556,28.526,223.6111111,163.8888889,30.83,32.11,6.893930555,5.262472223,74.56526667,24.85508889,23/10/2014,R6,6_out2,amb,lower,amb,7,0.233,0.154,0.290142857,295,228,67
61,6_out2lower,6_out2,lower,257.89,17.70366667,15.89666667,7,223.6455556,28.526,223.6111111,163.8888889,30.83,32.11,6.893930555,5.262472223,74.56526667,24.85508889,23/10/2014,R6,6_out2,amb,lower,elev,6,NA,0.295,0.274,408,391,17
62,6_out2upper,6_out2,upper,331.6757778,21.43433333,17.73422222,8,286.9378889,30.43711111,190.625,134.375,35.06,38.77,6.6833125,5.20971875,90.60548148,30.20182716,30/10/2014,R6,6_out2,amb,upper,amb,7,0.102,0.082,0.149,259,148,110
63,6_out2upper,6_out2,upper,331.6757778,21.43433333,17.73422222,8,286.9378889,30.43711111,190.625,134.375,35.06,38.77,6.6833125,5.20971875,90.60548148,30.20182716,30/10/2014,R6,6_out2,amb,upper,elev,7,0.218,0.153,0.160428571,359,283,76
