"","Conc","Tree","Position","leafw","epi_up","epi_low","meso.mean","sum.mean","Tree.y","Position.y","leafw.mean.y","epiupper.mean","epilower.mean","mesolay.mean","meso.mean.y","length.par1.mean","sumlength.par.mean","meanlength.par.mean","Date","Ring","Tree","CO2grow","Canopy","CO2meas","N.Rows","gmes","Mean_gm.Eglob","Mean_gs","Mean_Ci","Mean_Cc","Drawdown"
"43","513lower","513","lower",351.133333333333,23.277,17.9893333366667,296.933333333333,338.2,"513","lower",351.165,23.277,17.98933333,8,296.9282222,32.97011111,94.18172222,31.3939074066667,"30/10/2014","R5","513","elev","lower","amb",7,0.149,0.115,0.227428571,283,189,94
"44","513lower","513","lower",351.133333333333,23.277,17.9893333366667,296.933333333333,338.2,"513","lower",351.165,23.277,17.98933333,8,296.9282222,32.97011111,94.18172222,31.3939074066667,"30/10/2014","R5","513","elev","lower","elev",7,0.27,0.18,0.222285714,394,325,69
"45","513upper","513","upper",292.866666666667,22.3522222233333,18.21711111,250.366666666667,290.966666666667,"513","upper",292.8722222,22.35222222,18.21711111,7.333333333,250.3853333,34.03566667,90.95861111,30.3195370366667,"27/10/2014","R5","513","elev","upper","amb",6,0.166,0.106,0.142,246,175,71
"46","513upper","513","upper",292.866666666667,22.3522222233333,18.21711111,250.366666666667,290.966666666667,"513","upper",292.8722222,22.35222222,18.21711111,7.333333333,250.3853333,34.03566667,90.95861111,30.3195370366667,"27/10/2014","R5","513","elev","upper","elev",6,0.34,0.148,0.142833333,356,312,45
"47","523lower","523","lower",320.766666666667,21.553,18.9674444433333,269.466666666667,310,"523","lower",320.7708889,21.553,18.96744444,7,269.4577778,34.90355556,93.8668,31.2889333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","523upper","523","upper",353.325,23.5605750025,20.3368,299.8,343.675,"523","upper",363.2158889,24.06466667,20.94666667,8,307.2945556,34.812,94.45625926,31.4854197533333,"30/10/2014","R5","523","elev","upper","amb",7,0.114,0.091,0.193285714,275,163,111
"49","523upper","523","upper",353.325,23.5605750025,20.3368,299.8,343.675,"523","upper",363.2158889,24.06466667,20.94666667,8,307.2945556,34.812,94.45625926,31.4854197533333,"30/10/2014","R5","523","elev","upper","elev",7,0.243,0.172,0.228142857,387,307,80
"50","6_out1lower","6_out1","lower",323.85,23.4581111116667,19.2592777783333,272.1,314.833333333333,"6_out1","lower",323.8402222,23.458111115,19.259277775,7,272.09105555,34.82277778,92.99658889,30.9988629633333,"23/10/2014","R6","6_out1","amb","lower","amb",6,0.192,0.085,0.1045,249,206,43
"51","6_out1lower","6_out1","lower",323.85,23.4581111116667,19.2592777783333,272.1,314.833333333333,"6_out1","lower",323.8402222,23.458111115,19.259277775,7,272.09105555,34.82277778,92.99658889,30.9988629633333,"23/10/2014","R6","6_out1","amb","lower","elev",6,0.137,0.1,0.1115,340,248,93
"52","6_out1lower","6_out1","lower",323.85,23.4581111116667,19.2592777783333,272.1,314.833333333333,"6_out1","lower",323.8402222,23.458111115,19.259277775,7,272.09105555,34.82277778,92.99658889,30.9988629633333,"30/10/2014","R6","6_out1","amb","lower","amb",7,0.054,0.046,0.146714286,299,148,150
"53","6_out1lower","6_out1","lower",323.85,23.4581111116667,19.2592777783333,272.1,314.833333333333,"6_out1","lower",323.8402222,23.458111115,19.259277775,7,272.09105555,34.82277778,92.99658889,30.9988629633333,"30/10/2014","R6","6_out1","amb","lower","elev",7,0.097,0.076,0.147428571,402,279,124
"54","6_out1upper","6_out1","upper",361.45,22.9611666683333,20.3708333316667,313.766666666667,357.083333333333,"6_out1","upper",361.43744445,22.96116667,20.370833335,8.1666666665,313.75816665,32.75388889,90.48690546,30.16230182,"23/10/2014","R6","6_out1","amb","upper","amb",7,NA,0.256,0.223714286,238,214,25
"55","6_out1upper","6_out1","upper",361.45,22.9611666683333,20.3708333316667,313.766666666667,357.083333333333,"6_out1","upper",361.43744445,22.96116667,20.370833335,8.1666666665,313.75816665,32.75388889,90.48690546,30.16230182,"23/10/2014","R6","6_out1","amb","upper","elev",7,0.379,0.256,0.238142857,361,298,63
"56","6_out1upper","6_out1","upper",361.45,22.9611666683333,20.3708333316667,313.766666666667,357.083333333333,"6_out1","upper",361.43744445,22.96116667,20.370833335,8.1666666665,313.75816665,32.75388889,90.48690546,30.16230182,"30/10/2014","R6","6_out1","amb","upper","amb",6,0.086,0.065,0.1275,274,176,98
"57","6_out1upper","6_out1","upper",361.45,22.9611666683333,20.3708333316667,313.766666666667,357.083333333333,"6_out1","upper",361.43744445,22.96116667,20.370833335,8.1666666665,313.75816665,32.75388889,90.48690546,30.16230182,"30/10/2014","R6","6_out1","amb","upper","elev",7,0.149,0.102,0.134285714,375,291,84
"58","6_out2lower","6_out2","lower",273.02,19.629466664,15.83213333,233.98,269.44,"6_out2","lower",276.80533335,20.11091667,15.816,7.5,236.5662778,27.382333335,73.39181905,24.4639396833333,"30/10/2014","R6","6_out2","amb","lower","amb",6,0.122,0.097,0.202833333,277,173,104
"59","6_out2lower","6_out2","lower",273.02,19.629466664,15.83213333,233.98,269.44,"6_out2","lower",276.80533335,20.11091667,15.816,7.5,236.5662778,27.382333335,73.39181905,24.4639396833333,"30/10/2014","R6","6_out2","amb","lower","elev",7,0.35,0.201,0.228571429,406,355,50
"60","6_out2lower","6_out2","lower",273.02,19.629466664,15.83213333,233.98,269.44,"6_out2","lower",276.80533335,20.11091667,15.816,7.5,236.5662778,27.382333335,73.39181905,24.4639396833333,"23/10/2014","R6","6_out2","amb","lower","amb",7,0.233,0.154,0.290142857,295,228,67
"61","6_out2lower","6_out2","lower",273.02,19.629466664,15.83213333,233.98,269.44,"6_out2","lower",276.80533335,20.11091667,15.816,7.5,236.5662778,27.382333335,73.39181905,24.4639396833333,"23/10/2014","R6","6_out2","amb","lower","elev",6,NA,0.295,0.274,408,391,17
"62","6_out2upper","6_out2","upper",331.666666666667,21.4343333366667,17.73422222,286.933333333333,326.1,"6_out2","upper",331.6757778,21.43433333,17.73422222,8,286.9378889,30.43711111,90.60548148,30.20182716,"30/10/2014","R6","6_out2","amb","upper","amb",7,0.102,0.082,0.149,259,148,110
"63","6_out2upper","6_out2","upper",331.666666666667,21.4343333366667,17.73422222,286.933333333333,326.1,"6_out2","upper",331.6757778,21.43433333,17.73422222,8,286.9378889,30.43711111,90.60548148,30.20182716,"30/10/2014","R6","6_out2","amb","upper","elev",7,0.218,0.153,0.160428571,359,283,76
